,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
416,-1.3425653143786938,-1.0125571618338376,-1.3350047745824865,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
587,-1.2112514310189535,-0.6731650208488634,-0.816674113852162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
68,-2.1622181024468237,-2.134375321653076,-1.6452853397158498,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
303,0.3223544113846775,0.328774196663989,1.5382561696106327,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
121,1.3116831664726674,1.171285230853962,1.6854922423038885,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
338,0.9576837384858881,0.4855075397776505,1.4980898786211827,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
157,1.3521779013983597,1.2209132552669744,1.6547222824394803,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
693,0.3287985631936129,0.4322463379588756,-0.6308445266238624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
40,-0.7014904899288423,-0.49413028438208323,-1.0557764625232966,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
305,0.38707610998749925,-0.22048194709211055,1.5382561696106327,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
509,1.3886033206219748,1.0403621837519736,0.7945345446834838,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
557,-1.1363980586283944,-0.7611986757966196,0.289068388798174,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
247,1.2598573689122585,0.8946253509735562,1.2841519532205468,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
267,1.7292879609336307,1.7627412082275098,2.0823158400309865,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
485,1.0288000331605787,0.9323540602368837,0.8180052086953915,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
567,-0.6836937607749026,-0.6617253763857048,-0.4275934155929096,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
697,-0.5343495419580385,-0.5021423361245145,-0.6308445266238624,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
458,0.251468741486344,0.19134525358192098,1.4213867807678349,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
307,0.6061897650898947,0.4915013089038873,1.5382561696106327,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
31,-0.7713102099038962,-0.1997986613439649,-0.03560913003321501,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
229,0.3248860424524751,0.741061025910193,-1.1446181683965484,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
547,-0.6076868966799283,0.004397379591746576,-0.13320192540918835,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
569,0.672645041281665,0.9261183620041653,-0.4275934155929096,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
