,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
211,1420,jefferson county r-1,6541,jefferson county open secondary,537,471,1008,503,452,955,80215,76632.0,18231.0
212,1420,jefferson county r-1,7114,pomona high school,497,489,987,459,454,914,80005,98163.0,27523.0
213,1420,jefferson county r-1,7239,ralston valley senior high school,572,579,1151,525,525,1050,80005,98163.0,27523.0
214,1420,jefferson county r-1,7701,collegiate academy of colorado,521,513,1033,463,480,943,80127,113125.0,44570.0
215,1420,jefferson county r-1,8209,standley lake high school,528,519,1048,487,479,966,80021,86713.0,30705.0
216,1420,jefferson county r-1,8793,two roads charter school,509,461,970,469,441,910,80003,66810.0,35797.0
217,1420,jefferson county r-1,9510,wheat ridge high school,516,498,1014,467,457,924,80033,62404.0,24838.0
218,1500,burlington re-6j,1152,burlington high school,470,448,918,447,449,897,80807,50409.0,5313.0
219,1510,lake county r-1,4904,lake county high school,449,444,893,409,426,835,80461,66467.0,7170.0
220,1520,durango 9-r,2318,durango high school,544,525,1068,505,478,983,81301,71818.0,29280.0
221,1530,bayfield 10 jt-r,0640,bayfield high school,504,511,1016,475,464,939,81122,70750.0,7909.0
222,1540,ignacio 11 jt,4258,ignacio high school,433,412,845,411,407,818,81137,66076.0,5704.0
223,1550,poudre r-1,0146,ridgeview classical charter schools,629,571,1200,580,517,1097,80525,85047.0,49259.0
224,1550,poudre r-1,3046,fort collins high school,548,531,1079,514,506,1020,80525,85047.0,49259.0
225,1550,poudre r-1,3105,fossil ridge high school,586,586,1172,544,539,1083,80528,97517.0,18576.0
226,1550,poudre r-1,3760,centennial high school,468,438,907,421,399,820,80524,75991.0,32068.0
227,1550,poudre r-1,5120,liberty common charter school,659,663,1322,598,594,1192,80525,85047.0,49259.0
228,1550,poudre r-1,7104,polaris expeditionary learning school,577,499,1075,500,469,969,80521,67276.0,35697.0
229,1550,poudre r-1,7124,poudre high school,524,513,1037,494,484,978,80521,67276.0,35697.0
230,1550,poudre r-1,7127,poudre community academy,422,392,814,393,399,792,80521,67276.0,35697.0
231,1550,poudre r-1,7470,rocky mountain high school,537,524,1060,500,497,997,80526,74902.0,45522.0
232,1560,thompson r2-j,0812,berthoud high school,547,533,1080,500,484,984,80513,94102.0,10660.0
233,1560,thompson r2-j,5235,loveland classical school,557,529,1086,489,480,969,80537,68224.0,40278.0
234,1560,thompson r2-j,5316,loveland high school,538,521,1058,503,477,980,80538,74007.0,45636.0
235,1560,thompson r2-j,6163,mountain view high school,503,477,980,474,449,923,80537,68224.0,40278.0
236,1560,thompson r2-j,8824,thompson valley high school,515,488,1003,479,471,951,80537,68224.0,40278.0
237,1570,estes park r-3,2794,estes park high school,520,483,1002,484,458,942,80517,69716.0,9133.0
238,1580,trinidad 1,8906,trinidad high school,477,448,925,442,434,877,81082,56074.0,12046.0
239,1600,hoehne reorganized 3,4048,hoehne schools,485,485,970,450,454,904,81046,,
240,1750,branson reorganized 82,0948,branson school online,522,474,996,490,448,938,81027,42500.0,120.0
241,1790,limon re-4j,5136,limon junior-senior high school,523,476,999,502,467,969,80828,61719.0,3645.0
242,1828,valley re-1,1224,caliche junior-senior high school,503,510,1012,493,477,970,80736,70250.0,576.0
243,1828,valley re-1,8260,sterling high school,479,490,969,453,449,902,80751,52584.0,18826.0
244,1860,buffalo re-4j,5806,merino junior senior high school,495,464,959,448,433,881,80741,58125.0,774.0
245,1990,plateau valley 50,3582,grand mesa high school,446,419,865,411,415,826,81624,64375.0,1480.0
246,1990,plateau valley 50,7032,plateau valley high school,478,455,933,449,434,883,81624,64375.0,1480.0
